,,,0
RPI,t1,RPI,1.862422756853335
RPI,t6,RPI,2.0705239292256814
RPI,t12,RPI,2.2756507486839386
RPI,t24,RPI,2.076207906835804
W875RX1,t1,W875RX1,0.8943113337155023
W875RX1,t6,W875RX1,0.8904905777063883
W875RX1,t12,W875RX1,0.9343155479359864
W875RX1,t24,W875RX1,0.8960875261814848
DPCERA3M086SBEA,t1,DPCERA3M086SBEA,1.180504784145586
DPCERA3M086SBEA,t6,DPCERA3M086SBEA,1.241254606616613
DPCERA3M086SBEA,t12,DPCERA3M086SBEA,1.2693705953645442
DPCERA3M086SBEA,t24,DPCERA3M086SBEA,1.242531852981308
CMRMTSPLx,t1,CMRMTSPLx,1.4220946897456477
CMRMTSPLx,t6,CMRMTSPLx,1.402464277181397
CMRMTSPLx,t12,CMRMTSPLx,1.4122991489019807
CMRMTSPLx,t24,CMRMTSPLx,1.4013805074452335
RETAILx,t1,RETAILx,2.1354719122718766
RETAILx,t6,RETAILx,2.149705614847965
RETAILx,t12,RETAILx,2.1395519508064464
RETAILx,t24,RETAILx,2.1385925232242764
INDPRO,t1,INDPRO,1.3105626282177674
INDPRO,t6,INDPRO,1.3431635123812546
INDPRO,t12,INDPRO,1.3474419443519883
INDPRO,t24,INDPRO,1.3384729534084334
IPFPNSS,t1,IPFPNSS,1.3363308919199715
IPFPNSS,t6,IPFPNSS,1.3607378833609143
IPFPNSS,t12,IPFPNSS,1.3727764364422599
IPFPNSS,t24,IPFPNSS,1.364128427250566
IPFINAL,t1,IPFINAL,1.5019717784208353
IPFINAL,t6,IPFINAL,1.4922806356259333
IPFINAL,t12,IPFINAL,1.512588576981502
IPFINAL,t24,IPFINAL,1.5090386098588282
IPCONGD,t1,IPCONGD,1.4226070432160445
IPCONGD,t6,IPCONGD,1.3521152757479142
IPCONGD,t12,IPCONGD,1.3664988721838203
IPCONGD,t24,IPCONGD,1.3680719307794844
IPDCONGD,t1,IPDCONGD,5.143814679676495
IPDCONGD,t6,IPDCONGD,5.02393442797887
IPDCONGD,t12,IPDCONGD,5.03095120680544
IPDCONGD,t24,IPDCONGD,5.041932235967088
IPNCONGD,t1,IPNCONGD,0.790634735077297
IPNCONGD,t6,IPNCONGD,0.7921478219104777
IPNCONGD,t12,IPNCONGD,0.7934765901939859
IPNCONGD,t24,IPNCONGD,0.7786563797515933
