,,,0
RPI,t1,PC,1.926862619960489
RPI,t1,TPC,1.8836083312763823
RPI,t1,TSPC,2.040931270250408
RPI,t1,TPC2,2.3116807963035773
RPI,t1,PC2,2.3568417250647156
RPI,t1,LAPC,1.9814956318941155
RPI,t6,PC,2.0589673268031086
RPI,t6,TPC,1.8938850336075383
RPI,t6,TSPC,2.008802448349212
RPI,t6,TPC2,1.9639520714272107
RPI,t6,PC2,2.2100681859988827
RPI,t6,LAPC,1.8807180494489322
RPI,t12,PC,2.0767759105166226
RPI,t12,TPC,2.007871020870977
RPI,t12,TSPC,2.0779059631151795
RPI,t12,TPC2,2.397937795009322
RPI,t12,PC2,2.5495707260652836
RPI,t12,LAPC,1.8450854155855112
RPI,t24,PC,2.5485468193588825
RPI,t24,TPC,2.348034938204596
RPI,t24,TSPC,2.219143019362647
RPI,t24,TPC2,3.0319246657012453
RPI,t24,PC2,3.2578182152765
RPI,t24,LAPC,2.01709235714402
W875RX1,t1,PC,1.0179835158072672
W875RX1,t1,TPC,0.9515908831138394
W875RX1,t1,TSPC,1.021128515574638
W875RX1,t1,TPC2,1.568101096885576
W875RX1,t1,PC2,1.1394015017299495
W875RX1,t1,LAPC,0.9331786343101023
W875RX1,t6,PC,1.1290485385117954
W875RX1,t6,TPC,1.1991247979818087
W875RX1,t6,TSPC,1.1312433018017216
W875RX1,t6,TPC2,1.8074842846294719
W875RX1,t6,PC2,1.9771617912984487
W875RX1,t6,LAPC,0.958330404424446
W875RX1,t12,PC,0.9744417632966855
W875RX1,t12,TPC,1.0926581076928634
W875RX1,t12,TSPC,1.3037640470558136
W875RX1,t12,TPC2,1.6741537385736636
W875RX1,t12,PC2,2.8974351510496765
W875RX1,t12,LAPC,0.9632168947727408
W875RX1,t24,PC,1.2614958195360784
W875RX1,t24,TPC,1.012387445609331
W875RX1,t24,TSPC,1.3285390081806583
W875RX1,t24,TPC2,5.57276777743618
W875RX1,t24,PC2,2.447212483271601
W875RX1,t24,LAPC,1.1166688608445605
DPCERA3M086SBEA,t1,PC,1.5251736820499708
DPCERA3M086SBEA,t1,TPC,1.4653353614812632
DPCERA3M086SBEA,t1,TSPC,1.5512156318658996
DPCERA3M086SBEA,t1,TPC2,1.4227235674351661
DPCERA3M086SBEA,t1,PC2,1.9933369331096151
DPCERA3M086SBEA,t1,LAPC,1.4866779712509406
DPCERA3M086SBEA,t6,PC,1.4877796323046428
DPCERA3M086SBEA,t6,TPC,1.376425394293931
DPCERA3M086SBEA,t6,TSPC,1.532982659375139
DPCERA3M086SBEA,t6,TPC2,1.8014074953398862
DPCERA3M086SBEA,t6,PC2,2.196065785858044
DPCERA3M086SBEA,t6,LAPC,1.4622412413023098
DPCERA3M086SBEA,t12,PC,1.8704346538457137
DPCERA3M086SBEA,t12,TPC,1.544674696950557
DPCERA3M086SBEA,t12,TSPC,1.9265537365119432
DPCERA3M086SBEA,t12,TPC2,1.5857227536856662
DPCERA3M086SBEA,t12,PC2,3.2547308686959178
DPCERA3M086SBEA,t12,LAPC,1.5258270661763544
DPCERA3M086SBEA,t24,PC,1.6725257673731655
DPCERA3M086SBEA,t24,TPC,1.432822432755857
DPCERA3M086SBEA,t24,TSPC,1.5041655428549403
DPCERA3M086SBEA,t24,TPC2,2.7734701276077613
DPCERA3M086SBEA,t24,PC2,1.8580028891575333
DPCERA3M086SBEA,t24,LAPC,1.481181531670535
CMRMTSPLx,t1,PC,1.6675351471365223
CMRMTSPLx,t1,TPC,1.7814408053491022
CMRMTSPLx,t1,TSPC,1.6488072556239064
CMRMTSPLx,t1,TPC2,1.6905366475752766
CMRMTSPLx,t1,PC2,3.8977476186491584
CMRMTSPLx,t1,LAPC,1.6506424453327109
CMRMTSPLx,t6,PC,1.695999765850324
